Timestamp,Temperature,Pressure,Vibration,GasFlow,SteamOutput,SteamOutput_t+1,SteamOutput_t+2,SteamOutput_t+3,SteamOutput_t+4,SteamOutput_t+5,SteamOutput_t+6
2024-01-01 0:00,564.9014246,149.9127161,0.033107092,83.58334071,169.8384824,185.1612109,215.1217576,251.7454291,160.4756787,195.9778441,208.245612
2024-01-01 1:00,545.852071,163.3490625,0.026410903,58.71350875,185.1612109,215.1217576,251.7454291,160.4756787,195.9778441,208.245612,187.6779969
2024-01-01 2:00,569.4306561,133.8666746,0.052171818,61.48413166,215.1217576,251.7454291,160.4756787,195.9778441,208.245612,187.6779969,216.9904397
2024-01-01 3:00,595.6908957,151.809373,0.007764048,88.18548716,251.7454291,160.4756787,195.9778441,208.245612,187.6779969,216.9904397,182.6653466
2024-01-01 4:00,542.9753988,143.618182,0.018729818,74.53161545,160.4756787,195.9778441,208.245612,187.6779969,216.9904397,182.6653466,203.0769532
2024-01-01 5:00,542.9758913,162.0300752,0.052801376,70.12141926,195.9778441,208.245612,187.6779969,216.9904397,182.6653466,203.0769532,189.5585619
2024-01-01 6:00,597.3763845,174.9167106,0.03196679,92.70845621,208.245612,187.6779969,216.9904397,182.6653466,203.0769532,189.5585619,224.3886217
2024-01-01 7:00,573.0230419,169.6900928,0.043272639,83.27626217,187.6779969,216.9904397,182.6653466,203.0769532,189.5585619,224.3886217,186.4727099
2024-01-01 8:00,535.9157684,124.4251096,0.060768704,88.72090196,216.9904397,182.6653466,203.0769532,189.5585619,224.3886217,186.4727099,192.9625241
2024-01-01 9:00,566.2768013,190.6310448,0.019592934,78.33757928,182.6653466,203.0769532,189.5585619,224.3886217,186.4727099,192.9625241,218.9137807
2024-01-01 10:00,536.0974692,164.4291991,0.028510285,106.7962869,203.0769532,189.5585619,224.3886217,186.4727099,192.9625241,218.9137807,179.4392268
2024-01-01 11:00,536.0281074,148.3525129,0.025913596,73.95486139,189.5585619,224.3886217,186.4727099,192.9625241,218.9137807,179.4392268,201.3750011
2024-01-01 12:00,557.2588681,162.3569188,0.000681105,97.44495549,224.3886217,186.4727099,192.9625241,218.9137807,179.4392268,201.3750011,163.5493131
2024-01-01 13:00,492.6015927,162.6428473,0.025344048,79.3863396,186.4727099,192.9625241,218.9137807,179.4392268,201.3750011,163.5493131,178.2413308
2024-01-01 14:00,498.252465,149.9972692,0.043215933,63.45489605,192.9625241,218.9137807,179.4392268,201.3750011,163.5493131,178.2413308,207.6426255
2024-01-01 15:00,533.1313741,162.96875,0.038108843,84.82848746,218.9137807,179.4392268,201.3750011,163.5493131,178.2413308,207.6426255,180.1860498
2024-01-01 16:00,519.6150664,150.8879157,0.039286248,83.14762561,179.4392268,201.3750011,163.5493131,178.2413308,207.6426255,180.1860498,189.1085414
2024-01-01 17:00,559.42742,153.9345701,0.024367365,69.48678186,201.3750011,163.5493131,178.2413308,207.6426255,180.1860498,189.1085414,209.861728
2024-01-01 18:00,522.7592777,149.705813,0.020158541,70.77780723,163.5493131,178.2413308,207.6426255,180.1860498,189.1085414,209.861728,188.4162772
2024-01-01 19:00,507.630889,138.5099307,0.049038835,79.75302357,178.2413308,207.6426255,180.1860498,189.1085414,209.861728,188.4162772,216.4568415
