Timestamp,UnitID,Temperature,Pressure,Vibration,GasFlow,SteamOutput,Failure
2024-01-01 0:00,Boiler_1,565.4172355,147.4646649,0.033765053,59.29726455,193.5464707,0
2024-01-01 1:00,Boiler_2,555.3874535,176.4583029,0.032691213,80.41179517,202.9706203,0
2024-01-01 2:00,Turbine_A,560.518903,173.0078112,0.007250062,85.13675216,176.8994032,0
2024-01-01 3:00,Boiler_1,564.6756139,152.5396844,0.024761072,73.38512115,215.1982569,0
2024-01-01 4:00,Boiler_1,569.0416441,168.6467702,0.054247825,80.7462801,180.0626581,0
2024-01-01 5:00,Boiler_2,583.2909953,137.3716605,0.020110138,73.72963491,187.8886069,0
2024-01-01 6:00,Turbine_A,562.2945597,162.7745586,0.025225485,72.70427067,212.9760363,0
2024-01-01 7:00,Turbine_A,542.7622704,166.7913453,0.021875689,75.9158015,224.0791793,0
2024-01-01 8:00,Boiler_1,570.177211,185.6099471,0.028694772,72.89308008,231.7154914,0
2024-01-01 9:00,Turbine_B,606.996458,148.437718,0.021253158,86.83618312,221.1159648,0
2024-01-01 10:00,Boiler_1,546.0209876,140.8247106,0.037301123,72.65048123,193.5185563,0
2024-01-01 11:00,Boiler_1,520.7641209,146.5685806,0.032959701,70.97089993,169.1793386,0
2024-01-01 12:00,Boiler_1,583.2124201,139.9514725,0.041603214,97.67928667,228.1011117,0
2024-01-01 13:00,Boiler_1,546.3885651,180.0498604,0.014235883,89.60740012,227.4139198,0
2024-01-01 14:00,Boiler_2,484.8199136,183.2295894,0.024894893,61.38486639,186.5604769,0
2024-01-01 15:00,Turbine_A,575.4226503,164.8032487,0.026614161,72.3523171,218.4237808,0
2024-01-01 16:00,Boiler_2,533.9401544,178.3194242,0.036834704,82.42462972,193.3564441,0
2024-01-01 17:00,Boiler_2,547.2840015,162.0093757,0.018101682,83.23755067,230.0255377,0
2024-01-01 18:00,Boiler_2,559.9594099,158.5733253,0.043734807,65.09507134,189.7027068,0
